author,degree,betweenness,closeness,eigenvector
'Amiel Feinstein',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Claude E. Shannon'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
['Gerald Estrin',0.0009840098400984009,4.842568110720478e-07,0.0009840098400984009,8.419523948652266e-21
'Bruce Gilchrist',0.0004920049200492004,0.0,0.0006560065600656006,5.39176381329538e-21
'James H. Pomerene'],0.0004920049200492004,0.0,0.0006560065600656006,5.39176381329538e-21
['Kenneth S. Miller',0.0009840098400984009,7.263852166080717e-07,0.0009840098400984009,2.089385735857663e-24
'L. A. Zadeh'],0.0002460024600246002,0.0,0.0005622913371990862,1.0446928679288314e-24
['Rocco H. Urbano',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'R. K. Mueller'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Allen Newell',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Herbert A. Simon'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
['Richard Stone',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'R. A. Dandl'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Martin R. Bates',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'D. H. Bock',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'F. D. Powell'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'R. Bernstein'],0.0002460024600246002,0.0,0.0005622913371990862,1.0446928679288314e-24
['Richard Bellman',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Robert E. Kalaba'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
['Franz E. Hohn',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'S. Seshu',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'D. D. Aufenkamp'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
['A. H. Lightstone',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Abraham Robinson'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
